,Position_2,Position_3,Amplitude_1,Amplitude_2,Amplitude_3,Frame,Time,SisterPairID,SisterID,movieID
NaN,NaN,NaN,NaN,NaN,NaN,278,573.39,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,279,575.46,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,280,577.53,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,281,579.6,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,282,581.67,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,283,583.74,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,284,585.81,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,285,587.88,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,286,589.95,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,287,592.02,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,288,594.09,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,289,596.16,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,290,598.23,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,291,600.3,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,292,602.37,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,293,604.44,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,294,606.51,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,295,608.58,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,296,610.65,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,297,612.72,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,298,614.79,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,299,616.86,1,1,17
NaN,NaN,NaN,NaN,NaN,NaN,300,618.93,1,1,17
0.569569195,1.671920063,-4.344245258,0.005418788,0.003758368,0.008923335,1,0,2,1,17
0.56504901,1.768743682,-4.328729864,0.00580015,0.004039075,0.009604445,2,2.07,2,1,17
0.696221674,1.653945611,-4.294385354,0.005094742,0.003686541,0.008883169,3,4.14,2,1,17
0.764822489,1.64039885,-4.342031777,0.005200049,0.00374635,0.009014295,4,6.21,2,1,17
0.789716712,1.577627796,-4.304021312,0.003367029,0.002495598,0.006059568,5,8.28,2,1,17
0.864480324,1.491719567,-4.333189029,0.002358151,0.001769325,0.004312559,6,10.35,2,1,17
0.906255017,1.524432461,-4.299340271,0.002340015,0.001767539,0.004316569,7,12.42,2,1,17
0.910821165,1.514923206,-4.263252704,0.00243726,0.00186844,0.004582689,8,14.49,2,1,17
0.934492179,1.469530664,-4.199030088,0.002183084,0.00169235,0.004163301,9,16.56,2,1,17
0.938917064,1.289892508,-4.274199732,0.002344857,0.001836137,0.004529955,10,18.63,2,1,17
0.985558959,1.326152427,-4.158628594,0.002095174,0.001674124,0.004151737,11,20.7,2,1,17
1.020026015,1.277457299,-4.102242703,0.002417163,0.001949355,0.004845842,12,22.77,2,1,17
1.109181684,1.288048987,-4.199813626,0.002168344,0.001758356,0.004376795,13,24.84,2,1,17
1.100992386,1.356665872,-4.210389373,0.002002683,0.001621672,0.004035178,14,26.91,2,1,17
1.162908962,1.421230547,-4.223723614,0.002268248,0.001853967,0.004623577,15,28.98,2,1,17
1.158560361,1.398074238,-4.15995048,0.002293146,0.001896086,0.00474162,16,31.05,2,1,17
1.128571247,1.365933988,-4.039101634,0.002001414,0.001661815,0.004159901,17,33.12,2,1,17
1.118567448,1.374699084,-4.092566484,0.00232493,0.00188726,0.004699019,18,35.19,2,1,17
1.091212901,1.319289368,-3.98611194,0.002048624,0.001660768,0.004133389,19,37.26,2,1,17
1.004890972,1.3742937,-3.962553283,0.001931173,0.001570816,0.003912865,20,39.33,2,1,17
0.943952722,1.345715281,-4.006378165,0.002298695,0.001890403,0.004721458,21,41.4,2,1,17
1.01017398,1.320947905,-4.013325619,0.001746837,0.001471769,0.003696712,22,43.47,2,1,17
1.051283347,1.318472144,-3.944093205,0.002011256,0.001759696,0.004455292,23,45.54,2,1,17
0.962362563,1.359890861,-3.88948656,0.001919906,0.001695461,0.004300893,24,47.61,2,1,17
0.97723174,1.259922725,-3.928385003,0.001740611,0.001560809,0.003971046,25,49.68,2,1,17
